customer_name,gender,age,city,state,order_date,delivery_date,sales_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,Stock,delivery_days,month,age group
Aldin Moline,Male,25,West Aidenview,Victoria,2021-05-08,2021-05-20,1018,117,1,117,Jacket,Shearling,M,violet,74,12,2021-05-01,Young
Aldin Moline,Male,25,West Aidenview,Victoria,2021-05-08,2021-05-20,1019,107,2,214,Jacket,Denim,L,orange,73,12,2021-05-01,Young
Aldin Moline,Male,25,West Aidenview,Victoria,2021-05-08,2021-05-20,1020,105,1,105,Trousers,Pleated,XS,violet,58,12,2021-05-01,Young
Aldin Moline,Male,25,West Aidenview,Victoria,2021-05-08,2021-05-20,1021,96,2,192,Shirt,Oxford Cloth,XL,indigo,55,12,2021-05-01,Young
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-10-20,2021-11-03,2145,98,3,294,Shirt,Camp Collared,S,green,60,14,2021-10-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-10-20,2021-11-03,2146,93,1,93,Jacket,Coach,M,blue,54,14,2021-10-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-10-20,2021-11-03,2147,109,2,218,Jacket,Peacoat,XL,violet,42,14,2021-10-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-10-20,2021-11-03,2148,96,1,96,Shirt,Oxford Cloth,S,orange,72,14,2021-10-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-03-10,2021-03-22,3177,112,1,112,Trousers,Tracksuit Bottoms,XL,blue,68,12,2021-03-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-03-10,2021-03-22,3178,96,1,96,Shirt,Oxford Cloth,XS,indigo,61,12,2021-03-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-03-10,2021-03-22,3179,91,2,182,Shirt,Linen,S,blue,77,12,2021-03-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-03-10,2021-03-22,3180,90,1,90,Trousers,Relaxed Leg,XL,blue,40,12,2021-03-01,Middle Aged
Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-03-10,2021-03-22,3181,113,3,339,Trousers,Chinos,XS,red,69,12,2021-03-01,Middle Aged
Chaddie Fawlkes,Male,58,West Mackenzie,Queensland,2021-08-18,2021-09-02,2149,113,1,113,Trousers,Chinos,S,red,62,15,2021-08-01,Senior
Chaddie Fawlkes,Male,58,West Mackenzie,Queensland,2021-08-18,2021-09-02,2150,113,3,339,Trousers,Chinos,L,green,77,15,2021-08-01,Senior
Jamesy Rennles,Genderqueer,46,Harberview,Tasmania,2021-05-11,2021-06-01,2151,95,3,285,Shirt,Polo,M,indigo,62,21,2021-05-01,Middle Aged
